p,o,a,b,c
97,+,31026,0,83
97,+,31026,1,84
97,+,31026,2,85
97,+,31026,3,86
97,+,31026,4,87
97,+,31026,5,88
97,+,31026,6,89
97,+,31026,7,90
97,+,31026,8,91
97,+,31026,9,92
97,+,31026,10,93
97,+,31026,11,94
97,+,31026,12,95
97,+,31026,13,96
97,+,31026,14,0
97,+,31026,15,1
97,+,31026,16,2
97,+,31026,17,3
97,+,31026,18,4
97,+,31026,19,5
97,+,31026,20,6
97,+,31026,21,7
97,+,31026,22,8
97,+,31026,23,9
97,+,31026,24,10
97,+,31026,25,11
97,+,31026,26,12
97,+,31026,27,13
97,+,31026,28,14
97,+,31026,29,15
97,+,31026,30,16
97,+,31026,31,17
97,+,31026,32,18
97,+,31026,33,19
97,+,31026,34,20
97,+,31026,35,21
97,+,31026,36,22
97,+,31026,37,23
97,+,31026,38,24
97,+,31026,39,25
97,+,31026,40,26
97,+,31026,41,27
97,+,31026,42,28
97,+,31026,43,29
97,+,31026,44,30
97,+,31026,45,31
97,+,31026,46,32
97,+,31026,47,33
97,+,31026,48,34
97,+,31026,49,35
97,+,31026,50,36
97,+,31026,51,37
97,+,31026,52,38
97,+,31026,53,39
97,+,31026,54,40
97,+,31026,55,41
97,+,31026,56,42
97,+,31026,57,43
97,+,31026,58,44
97,+,31026,59,45
97,+,31026,60,46
97,+,31026,61,47
97,+,31026,62,48
97,+,31026,63,49
97,+,31026,64,50
97,+,31026,65,51
97,+,31026,66,52
97,+,31026,67,53
97,+,31026,68,54
97,+,31026,69,55
97,+,31026,70,56
97,+,31026,71,57
97,+,31026,72,58
97,+,31026,73,59
97,+,31026,74,60
97,+,31026,75,61
97,+,31026,76,62
97,+,31026,77,63
97,+,31026,78,64
97,+,31026,79,65
97,+,31026,80,66
97,+,31026,81,67
97,+,31026,82,68
97,+,31026,83,69
97,+,31026,84,70
97,+,31026,85,71
97,+,31026,86,72
97,+,31026,87,73
97,+,31026,88,74
97,+,31026,89,75
97,+,31026,90,76
97,+,31026,91,77
97,+,31026,92,78
97,+,31026,93,79
97,+,31026,94,80
97,+,31026,95,81
97,+,31026,96,82
97,+,31026,97,83
97,+,94353,0,69
97,+,94353,1,70
97,+,94353,2,71
97,+,94353,3,72
97,+,94353,4,73
97,+,94353,5,74
97,+,94353,6,75
97,+,94353,7,76
97,+,94353,8,77
97,+,94353,9,78
97,+,94353,10,79
97,+,94353,11,80
97,+,94353,12,81
97,+,94353,13,82
97,+,94353,14,83
97,+,94353,15,84
97,+,94353,16,85
97,+,94353,17,86
97,+,94353,18,87
97,+,94353,19,88
97,+,94353,20,89
97,+,94353,21,90
97,+,94353,22,91
97,+,94353,23,92
97,+,94353,24,93
97,+,94353,25,94
97,+,94353,26,95
97,+,94353,27,96
97,+,94353,28,0
97,+,94353,29,1
97,+,94353,30,2
97,+,94353,31,3
97,+,94353,32,4
97,+,94353,33,5
97,+,94353,34,6
97,+,94353,35,7
97,+,94353,36,8
97,+,94353,37,9
97,+,94353,38,10
97,+,94353,39,11
97,+,94353,40,12
97,+,94353,41,13
97,+,94353,42,14
97,+,94353,43,15
97,+,94353,44,16
97,+,94353,45,17
97,+,94353,46,18
97,+,94353,47,19
97,+,94353,48,20
97,+,94353,49,21
97,+,94353,50,22
97,+,94353,51,23
97,+,94353,52,24
97,+,94353,53,25
97,+,94353,54,26
97,+,94353,55,27
97,+,94353,56,28
97,+,94353,57,29
97,+,94353,58,30
97,+,94353,59,31
97,+,94353,60,32
97,+,94353,61,33
97,+,94353,62,34
97,+,94353,63,35
97,+,94353,64,36
97,+,94353,65,37
97,+,94353,66,38
97,+,94353,67,39
97,+,94353,68,40
97,+,94353,69,41
97,+,94353,70,42
97,+,94353,71,43
97,+,94353,72,44
97,+,94353,73,45
97,+,94353,74,46
97,+,94353,75,47
97,+,94353,76,48
97,+,94353,77,49
97,+,94353,78,50
97,+,94353,79,51
97,+,94353,80,52
97,+,94353,81,53
97,+,94353,82,54
97,+,94353,83,55
97,+,94353,84,56
97,+,94353,85,57
97,+,94353,86,58
97,+,94353,87,59
97,+,94353,88,60
97,+,94353,89,61
97,+,94353,90,62
97,+,94353,91,63
97,+,94353,92,64
97,+,94353,93,65
97,+,94353,94,66
97,+,94353,95,67
97,+,94353,96,68
97,+,94353,97,69
97,+,69658,0,12
97,+,69658,1,13
97,+,69658,2,14
97,+,69658,3,15
97,+,69658,4,16
97,+,69658,5,17
97,+,69658,6,18
97,+,69658,7,19
97,+,69658,8,20
97,+,69658,9,21
97,+,69658,10,22
97,+,69658,11,23
97,+,69658,12,24
97,+,69658,13,25
97,+,69658,14,26
97,+,69658,15,27
97,+,69658,16,28
97,+,69658,17,29
97,+,69658,18,30
97,+,69658,19,31
97,+,69658,20,32
97,+,69658,21,33
97,+,69658,22,34
97,+,69658,23,35
97,+,69658,24,36
97,+,69658,25,37
97,+,69658,26,38
97,+,69658,27,39
97,+,69658,28,40
97,+,69658,29,41
97,+,69658,30,42
97,+,69658,31,43
97,+,69658,32,44
97,+,69658,33,45
97,+,69658,34,46
97,+,69658,35,47
97,+,69658,36,48
97,+,69658,37,49
97,+,69658,38,50
97,+,69658,39,51
97,+,69658,40,52
97,+,69658,41,53
97,+,69658,42,54
97,+,69658,43,55
97,+,69658,44,56
97,+,69658,45,57
97,+,69658,46,58
97,+,69658,47,59
97,+,69658,48,60
97,+,69658,49,61
97,+,69658,50,62
97,+,69658,51,63
97,+,69658,52,64
97,+,69658,53,65
97,+,69658,54,66
97,+,69658,55,67
97,+,69658,56,68
97,+,69658,57,69
97,+,69658,58,70
97,+,69658,59,71
97,+,69658,60,72
97,+,69658,61,73
97,+,69658,62,74
97,+,69658,63,75
97,+,69658,64,76
97,+,69658,65,77
97,+,69658,66,78
97,+,69658,67,79
97,+,69658,68,80
97,+,69658,69,81
97,+,69658,70,82
97,+,69658,71,83
97,+,69658,72,84
97,+,69658,73,85
97,+,69658,74,86
97,+,69658,75,87
97,+,69658,76,88
97,+,69658,77,89
97,+,69658,78,90
97,+,69658,79,91
97,+,69658,80,92
97,+,69658,81,93
97,+,69658,82,94
97,+,69658,83,95
97,+,69658,84,96
97,+,69658,85,0
97,+,69658,86,1
97,+,69658,87,2
97,+,69658,88,3
97,+,69658,89,4
97,+,69658,90,5
97,+,69658,91,6
97,+,69658,92,7
97,+,69658,93,8
97,+,69658,94,9
97,+,69658,95,10
97,+,69658,96,11
97,+,69658,97,12
97,+,35942,0,52
97,+,35942,1,53
97,+,35942,2,54
97,+,35942,3,55
97,+,35942,4,56
97,+,35942,5,57
97,+,35942,6,58
97,+,35942,7,59
97,+,35942,8,60
97,+,35942,9,61
97,+,35942,10,62
97,+,35942,11,63
97,+,35942,12,64
97,+,35942,13,65
97,+,35942,14,66
97,+,35942,15,67
97,+,35942,16,68
97,+,35942,17,69
97,+,35942,18,70
97,+,35942,19,71
97,+,35942,20,72
97,+,35942,21,73
97,+,35942,22,74
97,+,35942,23,75
97,+,35942,24,76
97,+,35942,25,77
97,+,35942,26,78
97,+,35942,27,79
97,+,35942,28,80
97,+,35942,29,81
97,+,35942,30,82
97,+,35942,31,83
97,+,35942,32,84
97,+,35942,33,85
97,+,35942,34,86
97,+,35942,35,87
97,+,35942,36,88
97,+,35942,37,89
97,+,35942,38,90
97,+,35942,39,91
97,+,35942,40,92
97,+,35942,41,93
97,+,35942,42,94
97,+,35942,43,95
97,+,35942,44,96
97,+,35942,45,0
97,+,35942,46,1
97,+,35942,47,2
97,+,35942,48,3
97,+,35942,49,4
97,+,35942,50,5
97,+,35942,51,6
97,+,35942,52,7
97,+,35942,53,8
97,+,35942,54,9
97,+,35942,55,10
97,+,35942,56,11
97,+,35942,57,12
97,+,35942,58,13
97,+,35942,59,14
97,+,35942,60,15
97,+,35942,61,16
97,+,35942,62,17
97,+,35942,63,18
97,+,35942,64,19
97,+,35942,65,20
97,+,35942,66,21
97,+,35942,67,22
97,+,35942,68,23
97,+,35942,69,24
97,+,35942,70,25
97,+,35942,71,26
97,+,35942,72,27
97,+,35942,73,28
97,+,35942,74,29
97,+,35942,75,30
97,+,35942,76,31
97,+,35942,77,32
97,+,35942,78,33
97,+,35942,79,34
97,+,35942,80,35
97,+,35942,81,36
97,+,35942,82,37
97,+,35942,83,38
97,+,35942,84,39
97,+,35942,85,40
97,+,35942,86,41
97,+,35942,87,42
97,+,35942,88,43
97,+,35942,89,44
97,+,35942,90,45
97,+,35942,91,46
97,+,35942,92,47
97,+,35942,93,48
97,+,35942,94,49
97,+,35942,95,50
97,+,35942,96,51
97,+,35942,97,52
97,+,13485,0,2
97,+,13485,1,3
97,+,13485,2,4
97,+,13485,3,5
97,+,13485,4,6
97,+,13485,5,7
97,+,13485,6,8
97,+,13485,7,9
97,+,13485,8,10
97,+,13485,9,11
97,+,13485,10,12
97,+,13485,11,13
97,+,13485,12,14
97,+,13485,13,15
97,+,13485,14,16
97,+,13485,15,17
97,+,13485,16,18
97,+,13485,17,19
97,+,13485,18,20
97,+,13485,19,21
97,+,13485,20,22
97,+,13485,21,23
97,+,13485,22,24
97,+,13485,23,25
97,+,13485,24,26
97,+,13485,25,27
97,+,13485,26,28
97,+,13485,27,29
97,+,13485,28,30
97,+,13485,29,31
97,+,13485,30,32
97,+,13485,31,33
97,+,13485,32,34
97,+,13485,33,35
97,+,13485,34,36
97,+,13485,35,37
97,+,13485,36,38
97,+,13485,37,39
97,+,13485,38,40
97,+,13485,39,41
97,+,13485,40,42
97,+,13485,41,43
97,+,13485,42,44
97,+,13485,43,45
97,+,13485,44,46
97,+,13485,45,47
97,+,13485,46,48
97,+,13485,47,49
97,+,13485,48,50
97,+,13485,49,51
97,+,13485,50,52
97,+,13485,51,53
97,+,13485,52,54
97,+,13485,53,55
97,+,13485,54,56
97,+,13485,55,57
97,+,13485,56,58
97,+,13485,57,59
97,+,13485,58,60
97,+,13485,59,61
97,+,13485,60,62
97,+,13485,61,63
97,+,13485,62,64
97,+,13485,63,65
97,+,13485,64,66
97,+,13485,65,67
97,+,13485,66,68
97,+,13485,67,69
97,+,13485,68,70
97,+,13485,69,71
97,+,13485,70,72
97,+,13485,71,73
97,+,13485,72,74
97,+,13485,73,75
97,+,13485,74,76
97,+,13485,75,77
97,+,13485,76,78
97,+,13485,77,79
97,+,13485,78,80
97,+,13485,79,81
97,+,13485,80,82
97,+,13485,81,83
97,+,13485,82,84
97,+,13485,83,85
97,+,13485,84,86
97,+,13485,85,87
97,+,13485,86,88
97,+,13485,87,89
97,+,13485,88,90
97,+,13485,89,91
97,+,13485,90,92
97,+,13485,91,93
97,+,13485,92,94
97,+,13485,93,95
97,+,13485,94,96
97,+,13485,95,0
97,+,13485,96,1
97,+,13485,97,2
97,+,78480,0,7
97,+,78480,1,8
97,+,78480,2,9
97,+,78480,3,10
97,+,78480,4,11
97,+,78480,5,12
97,+,78480,6,13
97,+,78480,7,14
97,+,78480,8,15
97,+,78480,9,16
97,+,78480,10,17
97,+,78480,11,18
97,+,78480,12,19
97,+,78480,13,20
97,+,78480,14,21
97,+,78480,15,22
