p,o,a,b,c
113,-,38286,68,24
113,-,7715,90,54
97,-,22902,92,15
113,/,32819,15,40
97,/,58237,64,36
113,/,38133,48,3
113,/,98030,74,81
97,/,96984,97,29
113,/,40541,100,66
113,-,88625,25,8
97,+,83449,16,45
113,+,10530,90,111
113,/,29229,91,95
113,-,96626,97,27
97,+,60736,97,14
97,-,34913,36,54
113,/,51677,98,75
113,-,22704,110,107
113,/,46646,17,31
97,+,51782,93,77
97,/,57363,90,55
113,+,73905,76,79
113,+,60261,108,27
97,/,66732,92,46
113,+,6146,72,3
113,+,18391,27,112
113,-,29229,98,90
97,+,57363,85,24
97,-,84096,70,24
113,+,64945,41,11
97,+,24752,81,1
113,+,98262,102,54
113,+,92542,84,79
97,+,13470,2,86
113,+,62575,74,47
113,+,76255,42,22
97,-,66732,58,35
113,-,32819,35,14
113,-,54179,12,40
113,+,92067,44,16
113,-,64108,14,23
97,+,36935,78,56
113,-,33576,6,9
113,-,6496,75,93
113,+,64945,59,29
113,+,66952,103,46
113,-,40358,92,38
113,+,90132,8,79
113,-,87985,111,73
113,+,94245,31,34
113,+,52810,48,87
97,+,56754,22,31
113,+,98262,25,90
113,+,76255,75,55
97,-,97913,53,84
97,/,7373,66,14
113,/,45819,42,73
113,-,36672,77,96
97,-,60736,0,14
97,/,9297,63,50
97,-,27813,61,10
97,+,69912,71,46
113,/,53879,13,76
97,/,92272,81,72
113,-,96626,13,111
97,/,37093,17,47
113,+,96626,62,73
97,-,17986,47,91
97,/,59127,77,88
113,/,13469,103,17
113,/,84344,101,44
113,/,73271,52,53
113,-,22918,69,23
113,/,6146,27,1
97,-,70596,42,35
97,+,9313,16,17
97,/,34913,45,96
97,-,55447,84,73
113,-,2527,106,48
97,/,76017,45,40
113,+,84344,9,55
113,+,10530,60,81
113,+,64108,93,17
113,+,73271,44,91
113,-,17221,38,7
113,+,87985,45,3
97,+,46992,42,86
113,-,66178,110,76
113,-,13469,35,100
97,-,49384,72,36
97,/,49384,90,63
97,/,9313,38,51
113,/,45420,39,34
97,-,35467,70,89
97,-,7373,75,23
113,-,32138,13,33
97,-,66367,8,11
113,/,13880,110,13
97,-,17986,32,9
113,+,9184,82,0
113,/,88625,3,48
97,/,39855,55,45
113,+,64108,13,50
113,+,95111,73,38
97,+,71429,54,91
113,+,66952,63,6
113,+,60439,63,47
97,/,29432,70,32
113,/,45066,63,37
113,-,78288,29,63
113,+,51677,70,106
97,/,31026,4,93
113,+,8764,113,63
113,+,67524,12,75
97,/,5956,56,9
97,-,46204,85,44
113,/,88107,95,23
113,+,98030,21,80
113,+,87985,63,21
113,-,90082,49,85
97,-,70596,77,0
113,+,74692,79,78
113,-,18628,43,53
113,+,67524,18,81
113,-,92437,26,90
113,+,73271,16,63
113,/,96626,35,48
97,-,9297,18,64
97,-,85802,19,35
113,/,8764,13,109
113,+,46646,25,2
97,-,36556,8,76
113,-,60261,10,22
97,+,75993,61,6
113,/,66178,86,91
113,/,76255,92,37
97,+,55447,21,81
113,-,60439,10,87
97,+,81815,90,37
113,-,6268,58,108
97,+,9078,56,16
97,-,31026,90,90
97,/,39776,69,91
113,-,18391,45,40
97,+,76017,76,45
113,/,15577,105,35
113,-,17221,37,8
97,/,81815,19,38
113,/,40541,32,23
113,-,3489,58,41
113,/,85237,11,64
97,/,29432,37,19
113,-,99188,91,109
113,-,32819,93,69
97,-,65197,81,29
113,/,73905,67,86
97,-,81815,69,72
113,+,71965,37,21
113,-,92437,74,42
97,+,22452,27,72
97,/,25040,53,84
113,+,15577,71,54
97,+,45468,49,24
97,+,21691,70,33
113,-,15416,10,38
113,-,4738,11,94
97,+,31330,68,67
113,/,74692,6,18
97,/,24506,21,2
113,-,78097,62,65
97,/,47231,71,83
113,/,7715,76,101
113,/,56838,32,81
97,-,21691,10,50
113,/,32155,101,92
113,+,2527,106,34
113,-,3489,59,40
97,/,41940,72,0
97,+,69658,78,90
97,/,71429,39,85
97,+,59127,26,80
113,+,51677,15,51
97,-,97317,81,42
97,+,17531,33,7
113,-,11343,42,1
113,+,2296,52,88
97,/,96984,27,3
113,-,29229,70,5
97,+,68089,26,21
97,+,29432,69,13
113,-,76255,91,2
113,-,40483,62,80
113,-,64108,6,31
113,-,64108,23,14
97,+,3357,55,17
113,/,44017,106,76
113,-,35865,112,45
113,+,61287,50,91
113,+,3935,66,46
113,-,5188,71,32
113,/,88178,23,104
113,/,27885,108,32
113,-,38124,75,81
113,-,53879,8,83
113,+,32138,103,36
113,+,5188,25,15
113,+,4030,67,29
97,+,24506,69,34
113,/,29376,17,33
113,+,2296,63,99
113,/,95111,59,30
97,+,97317,52,78
113,/,22918,80,60
113,-,88107,42,38
97,+,41477,44,5
97,/,66969,4,58
97,-,46992,15,29
113,+,48186,0,48
113,+,36672,77,24
97,/,96984,25,96
113,/,78097,27,67
113,/,44017,54,24
97,+,55447,73,36
113,/,87985,25,16
97,/,69658,16,85
97,/,25367,20,7
113,-,60444,81,21
113,+,99308,95,76
97,+,84026,74,1
97,/,85802,49,5
113,/,60261,23,21
113,+,11670,47,78
113,+,47699,57,70
97,+,2688,33,5
113,+,33576,12,27
113,/,62575,110,3
113,/,32138,21,61
97,+,22452,17,62
97,/,47231,2,44
113,+,66178,74,34
97,/,49203,26,49
97,+,65197,23,36
113,/,35865,26,23
113,+,92067,65,37
97,-,81815,28,16
113,-,6146,63,94
97,+,90189,53,32
113,-,17221,19,26
113,+,77452,76,10
97,-,27813,38,33
97,+,22902,19,29
113,/,90764,69,72
113,+,38286,38,17
113,-,15577,14,82
113,/,29376,45,87
113,/,87038,46,84
97,-,57363,16,20
113,+,88178,74,112
113,+,10530,83,104
113,/,9184,56,51
113,+,18391,39,11
97,-,56754,12,94
97,+,24752,45,62
113,-,48186,63,98
113,/,94644,51,47
97,-,81442,11,48
97,+,36935,16,91
113,/,38133,59,81
113,-,77452,82,78
97,+,9313,31,32
97,+,45468,19,91
113,/,28473,76,35
113,-,33576,2,13
113,/,51677,73,29
113,+,51028,57,9
97,/,59127,79,69
113,/,32819,54,42
113,+,51677,93,16
113,+,51677,16,52
97,-,36935,23,52
113,+,11343,11,54
113,+,92067,50,22
97,-,24752,27,87
113,+,15577,85,68
113,/,48186,26,45
113,/,73271,55,89
113,-,54179,22,30
113,+,11670,90,8
113,+,56838,98,97
113,/,22704,69,103
97,/,81815,76,9
113,-,53879,75,16
113,+,62575,91,64
97,/,24752,82,10
113,-,90338,104,60
113,-,90082,18,3
113,+,6146,27,71
113,+,85237,16,51
113,+,90338,23,74
97,+,5520,74,65
113,+,3489,107,93
113,/,46526,106,99
113,+,27885,15,102
113,/,51677,56,18
97,/,47231,44,6
97,/,84026,21,24
97,+,49039,93,50
113,/,69342,34,5
113,+,32155,95,45
113,-,35865,41,3
113,/,98262,14,12
113,+,12109,90,108
113,/,98030,103,47
113,/,92437,20,101
113,+,60439,39,23
97,-,39813,64,76
97,+,94353,59,31
113,/,4738,97,48
113,/,94644,17,30
97,/,5956,46,32
113,+,84984,59,67
97,-,45468,7,65
97,-,22452,18,27
113,/,6496,97,66
113,+,29229,80,42
113,-,9184,97,47
113,-,36672,63,110
97,-,36935,53,22
113,/,90764,16,22
97,-,51782,14,67
97,/,22704,2,3
97,+,78561,18,9
97,/,65197,13,68
97,-,66732,41,52
97,/,47106,44,3
97,/,3080,41,75
97,+,70596,80,60
113,+,66178,99,59
113,-,90082,57,77
113,+,85237,62,97
113,/,71965,39,37
97,-,39855,20,65
97,+,24506,83,48
113,+,5188,44,34
113,+,87985,56,14
113,-,29229,99,89
113,+,53879,83,61
113,/,13469,58,6
113,/,5188,101,51
97,+,24752,22,39
113,-,11343,57,99
97,+,84026,60,84
113,+,66952,91,34
97,-,29432,45,93
97,/,24506,50,5
113,-,3489,73,26
113,-,36672,106,67
113,/,15416,63,18
97,/,39813,57,19
97,/,46204,44,80
113,-,64460,109,54
113,+,33576,96,111
113,+,45420,20,14
113,-,15416,35,13
97,/,21691,28,95
113,/,4738,95,49
113,-,48186,102,59
97,+,89387,97,50
113,-,3489,96,3
113,/,2527,17,35
113,/,2296,14,51
97,/,81442,4,87
97,-,69658,56,53
97,+,60736,10,24
97,/,97317,90,14
97,-,78561,49,39
113,+,32819,2,51
97,-,39776,77,26
97,+,55447,33,93
97,/,81442,73,48
97,/,41940,78,52
113,/,90338,50,111
97,-,35942,23,29
113,-,95111,57,21
113,+,12109,18,36
97,+,80549,55,94
97,-,3080,47,26
97,-,95595,61,86
97,+,17918,14,84
113,+,95111,18,96
113,-,90338,96,68
113,-,46646,61,29
97,+,10109,38,59
113,/,51677,13,20
97,+,89479,68,16
97,+,39813,36,79
113,/,74692,99,76
97,-,64490,95,84
113,+,71965,36,20
97,/,5956,1,39
113,/,90338,91,88
97,/,302,57,5
97,-,55447,6,54
97,-,47106,71,87
97,/,22452,9,69
113,+,61287,75,3
113,/,45420,18,37
113,+,8764,110,60
97,/,9230,69,36
113,-,94644,20,43
113,-,6268,13,40
97,/,3080,67,45
113,+,44017,65,12
113,/,8764,66,19
97,+,302,16,27
113,/,87038,64,3
113,+,28473,92,89
113,-,66178,27,46
97,/,302,11,27
113,-,3489,26,73
113,+,40358,62,79
113,/,29376,10,112
113,-,3935,29,64
113,-,2296,40,109
97,/,49039,23,95
113,+,67524,93,43
113,-,88178,101,50
97,+,39776,80,86
97,/,3357,77,43
113,-,45420,33,74
113,+,53879,32,10
97,-,24506,92,67
113,+,28473,9,6
113,/,95111,10,19
113,/,48186,59,25
113,+,25005,15,47
113,-,17221,108,50
113,+,65979,37,24
113,/,92542,96,59
113,+,36672,113,60
113,+,92067,22,107
113,-,3935,34,59
113,+,64460,104,41
113,+,42439,77,28
97,+,80549,18,57
113,+,90764,106,18
97,-,49039,61,90
97,-,75993,49,90
97,/,21582,71,12
97,/,46992,22,2
97,/,29432,83,63
113,/,94644,7,73
97,-,31330,63,33
97,+,89387,45,95
97,+,89387,9,59
97,+,59127,19,73
97,-,92272,77,45
113,/,62575,65,58
113,-,2296,53,96
113,/,64945,12,101
97,-,66732,22,71
113,-,60261,88,57
113,/,9184,16,9
113,/,15577,90,60
97,-,36556,47,37
113,-,60716,90,58
113,+,33576,85,100
97,-,46992,70,71
113,/,74692,3,37
113,-,73905,106,10
97,/,22452,32,22
113,/,4030,23,62
113,+,10530,76,97
97,/,83449,29,64
97,-,2688,82,84
113,-,66178,12,61
97,/,5520,69,80
113,-,40358,22,108
113,-,38133,25,27
97,+,69658,52,64
113,+,25005,87,6
97,+,69658,36,48
113,+,62575,16,102
97,+,27813,65,39
113,/,53879,112,29
97,-,51782,55,26
113,+,61208,49,11
97,+,57363,97,36
113,+,98262,30,95
97,+,32087,20,0
113,/,76255,62,99
113,+,32138,19,65
113,+,60439,92,76
113,+,92067,53,25
113,+,61208,79,41
97,/,10109,38,72
97,+,71429,17,54
113,+,99308,100,81
113,/,36672,88,77
97,+,69912,56,31
97,+,50757,9,35
113,+,40358,45,62
97,+,66367,90,12
113,+,45420,48,42
113,-,38124,26,17
113,+,78288,50,29
113,+,38124,112,42
97,/,64490,6,78
97,/,94353,55,66
113,/,60439,51,55
97,-,46992,22,22
113,+,92437,77,80
97,-,78561,73,15
113,/,48186,44,78
113,-,94245,21,95
97,+,21582,63,14
97,+,36556,76,63
113,+,64460,67,4
113,-,35865,26,18
113,+,85237,5,40
113,-,38353,97,62
97,/,21582,51,35
97,/,39855,7,67
113,/,2527,9,54
113,/,22088,20,87
97,/,21582,14,86
113,+,45066,41,20
97,/,85802,11,40
113,+,32155,87,37
97,/,36413,56,68
113,-,5188,58,45
113,+,56838,61,60
113,-,46526,43,40
97,+,41477,39,0
97,-,55447,11,49
113,+,99188,1,88
113,/,36672,28,66
97,-,47231,61,28
97,-,47231,60,29
113,-,60716,102,46
113,-,2527,0,41
113,+,11343,103,33
97,/,13485,44,15
97,/,92272,55,28
113,+,44017,75,22
113,-,90082,109,25
113,-,66178,7,66
97,-,36935,64,11
97,/,39030,40,5
113,-,54179,24,28
113,/,54179,33,59
113,+,15416,54,102
113,/,9184,94,97
113,/,2527,76,33
97,/,37093,26,68
113,/,71965,69,25
97,/,45468,81,76
113,-,2527,16,25
113,-,53879,51,40
113,-,9184,74,70
113,+,45066,87,66
97,+,9127,1,10
97,/,78561,36,48
113,-,95111,79,112
113,+,11670,35,66
97,/,2688,58,46
97,+,89479,42,87
113,-,60261,8,24
113,/,96626,102,43
97,-,76017,97,66
113,/,99308,104,50
113,+,45819,44,98
113,/,51028,84,42
113,-,21170,2,37
113,+,35865,79,10
97,-,9230,20,92
113,+,92067,46,18
97,-,47058,2,11
97,+,22902,70,80
97,-,5956,31,8
97,+,46204,96,31
113,/,6146,9,4
113,+,13469,98,7
113,/,13469,76,64
113,+,32155,110,60
97,-,24752,55,59
113,-,56838,100,12
97,-,5956,96,40
113,-,46526,87,109
113,+,78097,99,0
113,+,56838,81,80
113,-,90338,82,82
113,/,90338,9,93
113,-,95111,5,73
113,/,95111,45,79
97,/,22704,8,25
113,+,77452,16,63
97,+,3357,76,38
97,-,89387,61,86
113,/,64460,2,25
97,/,36935,12,70
113,-,62575,77,9
113,-,25005,16,16
113,-,13469,7,15
97,-,3357,62,94
97,+,32087,84,64
97,/,66732,7,27
113,/,16295,19,66
97,-,2688,16,53
97,+,36556,22,9
97,+,36413,39,77
113,/,10530,42,24
97,/,55447,38,4
97,-,47231,97,89
97,-,66732,7,86
113,/,32157,90,18
97,+,24752,37,54
113,+,73905,4,7
113,+,67524,92,42
113,/,77503,28,55
113,+,90764,66,91
113,/,32819,36,7
113,+,22704,39,30
113,/,28473,96,70
113,/,29229,112,34
113,-,38133,49,3
97,-,35942,4,48
97,-,64490,89,90
113,/,50938,13,76
97,+,39813,94,40
97,-,89479,61,81
113,-,38133,20,32
97,/,39855,89,59
113,-,51677,72,77
97,/,22704,46,8
113,+,25005,34,66
97,+,21691,24,84
113,-,29376,18,91
113,-,3935,102,104
113,+,35865,101,32
97,-,3080,23,50
97,+,24506,43,8
113,+,90082,86,107
113,-,99188,46,41
97,/,76017,62,62
97,-,94353,10,59
113,/,88107,71,110
113,-,35865,4,40
113,+,13880,93,74
97,/,35942,92,2
97,-,9297,22,60
97,-,76017,32,34
113,+,92447,102,2
113,+,64460,100,37
