p,o,a,b,c
97,+,28,62,90
113,+,103,103,93
113,-,106,18,88
113,+,101,97,85
113,-,89,68,21
113,-,11,112,12
97,-,8,52,53
113,+,104,80,71
113,/,53,28,1
113,/,85,92,0
113,/,74,47,1
97,+,77,92,72
97,-,13,62,48
113,/,101,44,2
113,/,18,78,0
113,+,94,56,37
97,-,15,38,74
97,-,50,88,59
113,/,105,73,1
113,/,109,88,1
113,+,97,96,80
113,-,58,40,18
113,-,81,1,80
97,+,91,58,52
97,/,42,31,1
97,-,78,40,38
97,+,56,65,24
113,-,28,25,3
113,-,0,111,2
113,+,64,54,5
113,-,2,95,20
97,/,52,91,0
97,/,65,37,1
97,/,19,84,0
97,-,90,13,77
113,+,96,88,71
113,-,90,43,47
113,/,38,46,0
113,/,112,66,1
97,-,19,93,23
97,-,8,9,96
113,-,33,108,38
97,+,49,83,35
97,+,19,40,59
113,/,51,11,4
113,-,36,27,9
97,/,43,64,0
97,-,54,23,31
113,/,16,40,0
113,/,37,106,0
97,-,93,39,54
113,+,95,83,65
113,-,29,81,61
113,-,48,26,22
97,-,17,74,40
113,/,1,81,0
97,-,85,91,91
97,/,81,65,1
113,/,27,6,4
97,+,51,47,1
97,/,54,35,1
113,/,80,90,0
113,/,15,37,0
97,+,14,9,23
113,+,105,109,101
113,+,61,23,84
97,+,10,30,40
97,/,11,91,0
113,-,107,14,93
113,+,34,80,1
113,/,97,80,1
97,+,45,33,78
113,/,10,55,0
113,-,85,84,1
113,+,63,77,27
97,/,17,68,0
113,+,89,78,54
97,-,8,71,34
97,/,83,45,1
97,/,81,86,0
97,+,35,56,91
113,/,20,37,0
97,-,26,82,41
97,+,86,78,67
113,+,75,55,17
113,/,78,5,15
97,-,87,60,27
97,/,19,90,0
97,-,30,93,34
113,-,81,103,91
113,/,6,33,0
97,+,86,14,3
113,+,10,44,54
113,+,113,35,35
97,-,13,91,19
97,-,67,32,35
113,-,13,81,45
113,-,65,54,11
113,/,6,18,0
113,+,25,36,61
97,+,39,16,55
113,-,96,36,60
113,/,106,54,1
113,-,73,4,69
113,+,26,15,41
113,/,112,60,1
113,/,102,16,6
113,/,9,84,0
113,-,92,98,107
97,+,34,20,54
97,/,0,14,0
97,-,15,20,92
97,-,76,76,0
113,/,11,91,0
113,/,3,81,0
97,-,46,57,86
113,/,85,90,0
113,-,10,44,79
113,/,108,6,18
113,+,14,29,43
113,/,88,59,1
97,+,45,12,57
97,/,22,22,1
113,+,6,27,33
97,-,24,9,15
113,-,1,43,71
113,+,78,95,60
97,-,31,89,39
113,-,26,106,33
97,+,60,77,40
97,-,33,74,56
113,+,71,90,48
113,-,80,32,48
